City,Shelter_ID,Shelter_Name,Distance_km,Contact_Number,Email,Location,Latitude,Longitude
Amritsar,AMR_SHEL_002,Amritsar Relief Shelter 2,8.29,+91-9536047761,amritsar_relief_shelter_2@relief.org,Amritsar Sector-40,31.645107621220426,74.85710558251694
Amritsar,AMR_SHEL_003,Amritsar Relief Shelter 3,17.58,+91-7855735909,amritsar_relief_shelter_3@relief.org,Amritsar Sector-17,31.636765681081787,74.88985430548419
Amritsar,AMR_SHEL_004,Amritsar Relief Shelter 4,23.17,+91-8620221605,amritsar_relief_shelter_4@relief.org,Amritsar Sector-7,31.628911465289114,74.87592444605292
Amritsar,AMR_SHEL_005,Amritsar Relief Shelter 5,6.55,+91-9241165608,amritsar_relief_shelter_5@relief.org,Amritsar Sector-36,31.623715498138406,74.87014437871673
Amritsar,AMR_SHEL_006,Amritsar Relief Shelter 6,23.52,+91-8949965207,amritsar_relief_shelter_6@relief.org,Amritsar Sector-8,31.634127182925297,74.89207112107269
Amritsar,AMR_SHEL_007,Amritsar Relief Shelter 7,7.67,+91-8190822440,amritsar_relief_shelter_7@relief.org,Amritsar Sector-37,31.63273190149983,74.88762469049966
Amritsar,AMR_SHEL_008,Amritsar Relief Shelter 8,2.57,+91-7944551073,amritsar_relief_shelter_8@relief.org,Amritsar Sector-35,31.62795565387239,74.87753526149484
Amritsar,AMR_SHEL_009,Amritsar Relief Shelter 9,4.4,+91-7647438597,amritsar_relief_shelter_9@relief.org,Amritsar Sector-13,31.615441411473082,74.85785449722174
Amritsar,AMR_SHEL_010,Amritsar Relief Shelter 10,10.36,+91-8564010128,amritsar_relief_shelter_10@relief.org,Amritsar Sector-29,31.6437275499828,74.86347737404833
Patiala,PAT_SHEL_001,Patiala Relief Shelter 1,19.36,+91-8913829017,patiala_relief_shelter_1@relief.org,Patiala Sector-50,30.331628022546504,76.37980276905587
Patiala,PAT_SHEL_002,Patiala Relief Shelter 2,1.77,+91-7095745387,patiala_relief_shelter_2@relief.org,Patiala Sector-22,30.34013620650015,76.39269521717
Patiala,PAT_SHEL_003,Patiala Relief Shelter 3,7.37,+91-8775366441,patiala_relief_shelter_3@relief.org,Patiala Sector-50,30.322672828647097,76.39363730583165
Patiala,PAT_SHEL_004,Patiala Relief Shelter 4,9.82,+91-9756909848,patiala_relief_shelter_4@relief.org,Patiala Sector-11,30.327695172487115,76.40292605158379
Patiala,PAT_SHEL_005,Patiala Relief Shelter 5,12.1,+91-8070615910,patiala_relief_shelter_5@relief.org,Patiala Sector-6,30.325643477550173,76.40565229620688
Patiala,PAT_SHEL_006,Patiala Relief Shelter 6,2.51,+91-7178700515,patiala_relief_shelter_6@relief.org,Patiala Sector-42,30.32545638532456,76.3676314475285
Patiala,PAT_SHEL_007,Patiala Relief Shelter 7,2.57,+91-9162634405,patiala_relief_shelter_7@relief.org,Patiala Sector-9,30.335853578039444,76.3669619663052
Patiala,PAT_SHEL_008,Patiala Relief Shelter 8,24.94,+91-8080006343,patiala_relief_shelter_8@relief.org,Patiala Sector-14,30.32997368954649,76.40017337967365
Patiala,PAT_SHEL_009,Patiala Relief Shelter 9,1.28,+91-9773760005,patiala_relief_shelter_9@relief.org,Patiala Sector-11,30.333833086708733,76.39688352219375
Patiala,PAT_SHEL_010,Patiala Relief Shelter 10,8.39,+91-9282147757,patiala_relief_shelter_10@relief.org,Patiala Sector-14,30.322577682107553,76.36875935287092
Mohali,MOH_SHEL_001,Mohali Relief Shelter 1,16.53,+91-9231575063,mohali_relief_shelter_1@relief.org,Mohali Sector-41,30.70300511174639,76.73067293756483
Mohali,MOH_SHEL_002,Mohali Relief Shelter 2,1.02,+91-8031628147,mohali_relief_shelter_2@relief.org,Mohali Sector-29,30.71911305189626,76.72148375518911
Mohali,MOH_SHEL_003,Mohali Relief Shelter 3,24.26,+91-7547774753,mohali_relief_shelter_3@relief.org,Mohali Sector-5,30.723705943062868,76.72723448477466
Mohali,MOH_SHEL_004,Mohali Relief Shelter 4,16.5,+91-9429128584,mohali_relief_shelter_4@relief.org,Mohali Sector-33,30.696061305692357,76.71818572829243
Mohali,MOH_SHEL_005,Mohali Relief Shelter 5,22.22,+91-9932258022,mohali_relief_shelter_5@relief.org,Mohali Sector-12,30.717843432370948,76.72286186783577
Mohali,MOH_SHEL_006,Mohali Relief Shelter 6,14.27,+91-8420168074,mohali_relief_shelter_6@relief.org,Mohali Sector-21,30.712699568020234,76.71936862029479
Mohali,MOH_SHEL_007,Mohali Relief Shelter 7,16.42,+91-9998606013,mohali_relief_shelter_7@relief.org,Mohali Sector-10,30.715202668028727,76.72655896781887
Mohali,MOH_SHEL_008,Mohali Relief Shelter 8,5.3,+91-9560191997,mohali_relief_shelter_8@relief.org,Mohali Sector-17,30.710223066807153,76.71715330818002
Mohali,MOH_SHEL_009,Mohali Relief Shelter 9,20.48,+91-9466513771,mohali_relief_shelter_9@relief.org,Mohali Sector-36,30.71206844298788,76.72962858737243
Mohali,MOH_SHEL_010,Mohali Relief Shelter 10,17.72,+91-9999157013,mohali_relief_shelter_10@relief.org,Mohali Sector-8,30.68550802357354,76.71240787980517
