City,Hospital_ID,Hospital_Name,Distance_km,Total_Doctors,Total_Beds,Available_Beds,Contact_Number,Email,Location,Latitude,Longitude
Amritsar,AMR_HOSP_008,Amritsar City Hospital 8,18.3,11,123,119,+91-7010361925,amritsar_city_hospital_8@health.org,Amritsar Sector-23,31.63242209718184,74.89129739617361
Amritsar,AMR_HOSP_009,Amritsar City Hospital 9,20.07,59,153,0,+91-9998034034,amritsar_city_hospital_9@health.org,Amritsar Sector-55,31.64305558342522,74.87769218089522
Amritsar,AMR_HOSP_010,Amritsar City Hospital 10,8.32,80,280,273,+91-8233797357,amritsar_city_hospital_10@health.org,Amritsar Sector-31,31.619956259626,74.86706624574505
Patiala,PAT_HOSP_001,Patiala City Hospital 1,28.63,83,259,184,+91-7266975633,patiala_city_hospital_1@health.org,Patiala Sector-44,30.354999907573077,76.40040666111942
Patiala,PAT_HOSP_002,Patiala City Hospital 2,26.99,60,95,1,+91-8331702784,patiala_city_hospital_2@health.org,Patiala Sector-55,30.326884815392674,76.3996039378368
Patiala,PAT_HOSP_003,Patiala City Hospital 3,16.7,21,229,11,+91-7736892443,patiala_city_hospital_3@health.org,Patiala Sector-41,30.340758659167477,76.36817005082459
Patiala,PAT_HOSP_004,Patiala City Hospital 4,19.56,59,54,29,+91-9952259358,patiala_city_hospital_4@health.org,Patiala Sector-60,30.334754330653812,76.38991533522058
Patiala,PAT_HOSP_005,Patiala City Hospital 5,15.97,80,88,83,+91-9513318858,patiala_city_hospital_5@health.org,Patiala Sector-44,30.347089078860183,76.37512542755023
Patiala,PAT_HOSP_006,Patiala City Hospital 6,9.27,68,98,13,+91-9839627543,patiala_city_hospital_6@health.org,Patiala Sector-47,30.331163264799528,76.38927550822986
Patiala,PAT_HOSP_007,Patiala City Hospital 7,23.85,98,99,62,+91-8865960607,patiala_city_hospital_7@health.org,Patiala Sector-25,30.356386079285112,76.39849021355072
Patiala,PAT_HOSP_008,Patiala City Hospital 8,12.98,46,299,61,+91-8226353273,patiala_city_hospital_8@health.org,Patiala Sector-29,30.35713078117523,76.37131591807766
Patiala,PAT_HOSP_009,Patiala City Hospital 9,5.82,47,91,24,+91-7526316134,patiala_city_hospital_9@health.org,Patiala Sector-11,30.352628281902657,76.39689088577609
Patiala,PAT_HOSP_010,Patiala City Hospital 10,6.31,98,146,141,+91-7179485716,patiala_city_hospital_10@health.org,Patiala Sector-18,30.358674128772073,76.39014102436136
Mohali,MOH_HOSP_001,Mohali City Hospital 1,18.04,55,187,131,+91-9024046517,mohali_city_hospital_1@health.org,Mohali Sector-30,30.70006996493072,76.70889916285411
Mohali,MOH_HOSP_002,Mohali City Hospital 2,13.35,12,168,13,+91-9942130644,mohali_city_hospital_2@health.org,Mohali Sector-24,30.699419252140643,76.70465681601556
Mohali,MOH_HOSP_003,Mohali City Hospital 3,21.81,72,91,10,+91-8470608008,mohali_city_hospital_3@health.org,Mohali Sector-25,30.703053697137317,76.73325398571315
Mohali,MOH_HOSP_004,Mohali City Hospital 4,28.62,86,46,10,+91-9125149652,mohali_city_hospital_4@health.org,Mohali Sector-46,30.72315760504688,76.72649337553254
Mohali,MOH_HOSP_005,Mohali City Hospital 5,6.69,44,160,3,+91-8877341956,mohali_city_hospital_5@health.org,Mohali Sector-27,30.68962638136555,76.73766436530136
Mohali,MOH_HOSP_006,Mohali City Hospital 6,22.8,90,95,18,+91-7779681965,mohali_city_hospital_6@health.org,Mohali Sector-49,30.695569294690284,76.73460097247533
Mohali,MOH_HOSP_007,Mohali City Hospital 7,6.63,82,182,115,+91-9588230156,mohali_city_hospital_7@health.org,Mohali Sector-16,30.70348212785817,76.69973407084622
Mohali,MOH_HOSP_008,Mohali City Hospital 8,24.69,93,225,118,+91-7043087849,mohali_city_hospital_8@health.org,Mohali Sector-4,30.699365980006096,76.7026716297598
Mohali,MOH_HOSP_009,Mohali City Hospital 9,10.59,31,263,145,+91-7275543392,mohali_city_hospital_9@health.org,Mohali Sector-7,30.713402449126594,76.7359749122157
Mohali,MOH_HOSP_010,Mohali City Hospital 10,16.15,20,194,162,+91-8023556254,mohali_city_hospital_10@health.org,Mohali Sector-60,30.68926734425315,76.7133979550566
