City,Shelter_ID,Shelter_Name,Distance_km,Contact_Number,Email,Location
Patiala,PAT_SHEL_008,Patiala Relief Shelter 8,24.94,+91-8080006343,patiala_relief_shelter_8@relief.org,Patiala Sector-14
Patiala,PAT_SHEL_009,Patiala Relief Shelter 9,1.28,+91-9773760005,patiala_relief_shelter_9@relief.org,Patiala Sector-11
Patiala,PAT_SHEL_010,Patiala Relief Shelter 10,8.39,+91-9282147757,patiala_relief_shelter_10@relief.org,Patiala Sector-14
Mohali,MOH_SHEL_001,Mohali Relief Shelter 1,16.53,+91-9231575063,mohali_relief_shelter_1@relief.org,Mohali Sector-41
Mohali,MOH_SHEL_002,Mohali Relief Shelter 2,1.02,+91-8031628147,mohali_relief_shelter_2@relief.org,Mohali Sector-29
Mohali,MOH_SHEL_003,Mohali Relief Shelter 3,24.26,+91-7547774753,mohali_relief_shelter_3@relief.org,Mohali Sector-5
Mohali,MOH_SHEL_004,Mohali Relief Shelter 4,16.5,+91-9429128584,mohali_relief_shelter_4@relief.org,Mohali Sector-33
Mohali,MOH_SHEL_005,Mohali Relief Shelter 5,22.22,+91-9932258022,mohali_relief_shelter_5@relief.org,Mohali Sector-12
Mohali,MOH_SHEL_006,Mohali Relief Shelter 6,14.27,+91-8420168074,mohali_relief_shelter_6@relief.org,Mohali Sector-21
Mohali,MOH_SHEL_007,Mohali Relief Shelter 7,16.42,+91-9998606013,mohali_relief_shelter_7@relief.org,Mohali Sector-10
Mohali,MOH_SHEL_008,Mohali Relief Shelter 8,5.3,+91-9560191997,mohali_relief_shelter_8@relief.org,Mohali Sector-17
Mohali,MOH_SHEL_009,Mohali Relief Shelter 9,20.48,+91-9466513771,mohali_relief_shelter_9@relief.org,Mohali Sector-36
Mohali,MOH_SHEL_010,Mohali Relief Shelter 10,17.72,+91-9999157013,mohali_relief_shelter_10@relief.org,Mohali Sector-8
